"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6722","test_order_scooter[\u0410\u043d\u043d\u0430-\u0421\u0438\u0434\u043e\u0440\u043e\u0432\u0430-\u0421\u0430\u043d\u043a\u0442-\u041f\u0435\u0442\u0435\u0440\u0431\u0443\u0440\u0433, \u041d\u0435\u0432\u0441\u043a\u0438\u0439 \u043f\u0440. 100-\u0421\u043e\u043a\u043e\u043b\u044c\u043d\u0438\u043a\u0438-+79270000000-20.10.2023-\u0434\u0432\u043e\u0435 \u0441\u0443\u0442\u043e\u043a-\u0441\u0435\u0440\u0430\u044f \u0431\u0435\u0437\u044b\u0441\u0445\u043e\u0434\u043d\u043e\u0441\u0442\u044c-\u041d\u0435 \u0437\u0432\u043e\u043d\u0438\u0442\u0435 \u2014 \u043f\u0440\u043e\u0441\u0442\u043e \u043e\u0441\u0442\u0430\u0432\u044c\u0442\u0435 \u0443 \u0434\u0432\u0435\u0440\u0438.]","test","Mon Jun 09 16:02:22 EEST 2025","passed","Mon Jun 09 16:02:29 EEST 2025","TestScooterOrder","test_scooter_order","",""
"","2859","test_answer_6","test","Mon Jun 09 15:53:48 EEST 2025","passed","Mon Jun 09 15:53:50 EEST 2025","TestQuestionsAndAnswers","test_qa_section","",""
"","3750","test_answer_0","test","Mon Jun 09 15:53:19 EEST 2025","passed","Mon Jun 09 15:53:22 EEST 2025","TestQuestionsAndAnswers","test_qa_section","",""
"","5820","test_yandex_logo_redirects_to_dzen","test","Mon Jun 09 16:02:35 EEST 2025","passed","Mon Jun 09 16:02:41 EEST 2025","TestScooterOrder","test_scooter_order","",""
"","3167","test_scooter_button_leads_to_main_page","test","Mon Jun 09 16:02:30 EEST 2025","passed","Mon Jun 09 16:02:33 EEST 2025","TestScooterOrder","test_scooter_order","",""
"","3225","test_answer_4","test","Mon Jun 09 15:53:38 EEST 2025","passed","Mon Jun 09 15:53:41 EEST 2025","TestQuestionsAndAnswers","test_qa_section","",""
"","2944","test_answer_7","test","Mon Jun 09 15:53:52 EEST 2025","passed","Mon Jun 09 15:53:55 EEST 2025","TestQuestionsAndAnswers","test_qa_section","",""
"","3145","test_answer_5","test","Mon Jun 09 15:53:43 EEST 2025","passed","Mon Jun 09 15:53:46 EEST 2025","TestQuestionsAndAnswers","test_qa_section","",""
"","3241","test_answer_1","test","Mon Jun 09 15:53:24 EEST 2025","passed","Mon Jun 09 15:53:27 EEST 2025","TestQuestionsAndAnswers","test_qa_section","",""
"","3095","test_answer_3","test","Mon Jun 09 15:53:33 EEST 2025","passed","Mon Jun 09 15:53:36 EEST 2025","TestQuestionsAndAnswers","test_qa_section","",""
"","2799","test_answer_2","test","Mon Jun 09 15:53:29 EEST 2025","passed","Mon Jun 09 15:53:32 EEST 2025","TestQuestionsAndAnswers","test_qa_section","",""
"","5699","test_order_scooter[\u0418\u0432\u0430\u043d-\u0418\u0432\u0430\u043d\u043e\u0432-\u041c\u043e\u0441\u043a\u0432\u0430, \u0443\u043b. \u041b\u0435\u043d\u0438\u043d\u0430, \u0434. 1-\u0421\u043c\u043e\u043b\u0435\u043d\u0441\u043a\u0430\u044f-+79161234567-15.10.2023-\u0441\u0443\u0442\u043a\u0438-\u0447\u0451\u0440\u043d\u044b\u0439 \u0436\u0435\u043c\u0447\u0443\u0433-\u041f\u043e\u0436\u0430\u043b\u0443\u0439\u0441\u0442\u0430, \u043f\u043e\u0437\u0432\u043e\u043d\u0438\u0442\u0435 \u043f\u0435\u0440\u0435\u0434 \u0434\u043e\u0441\u0442\u0430\u0432\u043a\u043e\u0439.]","test","Mon Jun 09 16:02:15 EEST 2025","passed","Mon Jun 09 16:02:20 EEST 2025","TestScooterOrder","test_scooter_order","",""
